,Channel Name,Subscriber Count,Total Views,Total Videos,Country,Channel Description
0,CBC News,4540000,2874258475,43631,CA,"As Canada's national public news and information service, the CBC is committed to a set of values that include accuracy, fairness, balance, impartiality and integrity.
Since the 1930s, CBC News services have kept Canadians at home and abroad informed about their communities, their country and the world. CBC/Radio-Canada is the country’s largest news organization, employing several hundred journalists in Canada and around the globe. Our stories appear on CBC Television, CBC Radio, the CBC News Network, CBCNews.ca and other digital platforms. "
1,USA TODAY,7460000,5068921277,31441,US,"From heartwarming moments to the latest in sports, entertainment, and politics, our journalists are dedicated to bringing clarity to the news of the day with unique visual storytelling.
"
2,Washington Post,2830000,1633222229,24357,US,"Live coverage, breaking news, analysis and more from The Washington Post.

Comments and community are moderated according to these rules: http://wapo.st/rules"
3,NBC News,11800000,9651763114,90839,No Country,"Every day, NBC News helps people understand what’s happening and why it matters — through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts — TODAY, NBC Nightly News, Meet the Press, and Dateline — to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world.


Connect with NBC News:
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC"
4,Reuters,4050000,2218213172,78048,US,"Reuters brings you the latest breaking news, business and finance video from around the world. Since our founding in 1851, we have been known globally for unparalleled accuracy and impartiality. 

Subscribe to stay up-to-date with global headlines: http://smarturl.it/reuterssubscribe"
5,The Wall Street Journal,6550000,2462226300,28524,US,The Wall Street Journal takes you inside carefully selected stories and events in a visually captivating way so you can dig deeper into the news and insights that matter to you. 
6,CNN,19200000,19975872408,180117,US,"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.
"
7,BBC News,19200000,6645331080,28740,GB,"Breaking news, live updates and in-depth analysis from BBC News journalists around the world. 

For the latest news download the BBC News app or visit BBC.com/news
"
8,The New York Times,5030000,1358190571,10475,No Country,"The New York Times is the most powerful engine for independent, boots-on-the-ground and deeply reported journalism. We set the standard for the most ambitious and innovative storytelling across features, news and investigations. Because we’re journalists, we’re excited to report the news as quickly as possible, use new technological resources to uncover the truth, and unearth new cultural phenomenons with our critics. The internet didn’t plant these ideas in our heads. We’ve always been this way.  It's all the news that's fit to watch. On YouTube."
9,Fox News,14900000,24054410567,134324,US,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre."
