,View Count,Like Count,Favorite Count,Comment Count
0,59437,691,0,0
1,28176,233,0,0
2,96853,466,0,0
3,18252,194,0,0
4,137223,1558,0,0
5,5411,157,0,141
6,12976,82,0,155
7,4561,76,0,24
8,7420,110,0,25
9,3192,30,0,1
10,10460,107,0,87
11,8291,95,0,18
12,8568,295,0,83
13,25398,422,0,396
14,12130,229,0,11
15,34551,420,0,389
16,143168,1022,0,119
17,45994,323,0,28
18,30561,351,0,203
19,21050,168,0,152
20,42337,474,0,0
21,10557,154,0,0
22,1551,30,0,6
23,5365,99,0,71
24,232958,1042,0,0
25,31674,237,0,192
26,20355,508,0,22
27,131828,1838,0,164
28,25337,444,0,46
29,45086,911,0,20
30,167570,2011,0,2624
31,288848,4191,0,1834
32,81146,1948,0,548
33,1067071,4786,0,3722
34,175153,2816,0,512
35,111819,739,0,694
36,57843,644,0,363
37,245557,1492,0,1851
38,397009,2517,0,1640
39,150376,1407,0,842
40,551242,12572,0,1133
41,185156,6490,0,664
42,224081,16602,0,1005
43,273611,4577,0,845
44,66977,1002,0,343
45,95934,3057,0,919
46,28522,1739,0,267
47,14533,326,0,351
48,234256,3406,0,1331
49,124891,4131,0,755
